drive_id,local_filename,on_disk,sample_drive_url
1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr,img_1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr.jpg,yes,"https://drive.google.com/file/d/1GN9r25E-vhH3o0PmYTh_CeHpvAREF_Dr"
13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5,img_13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5.jpg,yes,"https://drive.google.com/file/d/13QNSikc8W6cAWqM6MXSYMdx7Mzs9OKx5"
1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd,img_1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd.jpg,yes,"https://drive.google.com/file/d/1hBHudBeDSB1bkGqX4qTvhEM0F2sHnkcd"
13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC,img_13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC.jpg,yes,"https://drive.google.com/file/d/13w1fWNGZg5UQXWuZxEyF6hk3IwncdefC"
1PygiMYqqr1QClPDVser-ZExOWwbl0btA,img_1PygiMYqqr1QClPDVser-ZExOWwbl0btA.jpg,yes,"https://drive.google.com/file/d/1PygiMYqqr1QClPDVser-ZExOWwbl0btA"
1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT,img_1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT.jpg,yes,"https://drive.google.com/file/d/1cDG-6DqYt9ddMpeUH_KuPJlUqWJeWSuT"
1MAUYMbUWD91sOWrr2S07vFnLFke6hReM,img_1MAUYMbUWD91sOWrr2S07vFnLFke6hReM.jpg,yes,"https://drive.google.com/file/d/1MAUYMbUWD91sOWrr2S07vFnLFke6hReM"
1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6,img_1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6.jpg,yes,"https://drive.google.com/file/d/1wq2z9I0Y4vE2eUm1OlDXny_s10KkTmY6"
1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC,img_1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC.jpg,yes,"https://drive.google.com/file/d/1A3FquGBwOyJm0bB0tQiiOUYZImaFR3jC"
1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1,img_1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1.jpg,yes,"https://drive.google.com/file/d/1Aa4Dp-sGgkRvMY7jDd-rWrkaeXR1SQf1"
1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7,img_1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7.jpg,yes,"https://drive.google.com/file/d/1b7cOO6uqLMLfor74YOkRX-o6t-WqE3a7"
1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5,img_1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5.jpg,yes,"https://drive.google.com/file/d/1GHcG6C5lMGNcG0PuWjEZwD883g6GiWr5"
1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK,img_1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK.jpg,yes,"https://drive.google.com/file/d/1OJKuzJl2KJWr8j_VYbM6n4PyCjIsKFKK"
1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI,img_1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI.jpg,yes,"https://drive.google.com/file/d/1XScwrEuTsvBz-2eFw0SOp300YRDtG7yI"
1JSmzPpPfrxTPs9V_Sk8k5xakiNsZ6pIh,img_1JSmzPpPfrxTPs9V_Sk8k5xakiNsZ6pIh.jpg,yes,"https://drive.google.com/file/d/1JSmzPpPfrxTPs9V_Sk8k5xakiNsZ6pIh"
1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ,img_1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ.jpg,yes,"https://drive.google.com/file/d/1U_MIUBgX9Vm83lNewQxL9oVEPgEQnRdQ"
1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v,img_1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v.jpg,yes,"https://drive.google.com/file/d/1TVa3MNiJO-SNNF5GXH8nle4K3_erkO9v"
1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2,img_1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2.jpg,yes,"https://drive.google.com/file/d/1rooazqy8K-rwxib_z1d8_r2j0WLe9IG2"
1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc,img_1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc.jpg,yes,"https://drive.google.com/file/d/1FXYlMORkJ1XI4mPna9IMCAV4XaR7rjFc"
1ph1HlGtDILcPhA7Prdjm1woSMkT9jlbq,img_1ph1HlGtDILcPhA7Prdjm1woSMkT9jlbq.jpg,yes,"https://drive.google.com/file/d/1ph1HlGtDILcPhA7Prdjm1woSMkT9jlbq"
1qB2r3FmwBNPIxQPQhON4ZRP4z4W1JnRp,img_1qB2r3FmwBNPIxQPQhON4ZRP4z4W1JnRp.jpg,yes,"https://drive.google.com/file/d/1qB2r3FmwBNPIxQPQhON4ZRP4z4W1JnRp"
1HNyXF76GKzNFWWP1J8EabNv3nkGankU6,img_1HNyXF76GKzNFWWP1J8EabNv3nkGankU6.jpg,yes,"https://drive.google.com/file/d/1HNyXF76GKzNFWWP1J8EabNv3nkGankU6"
1Gqr9P1QQ6uIOZ4YjBekaR8dbb0SouEDx,img_1Gqr9P1QQ6uIOZ4YjBekaR8dbb0SouEDx.jpg,yes,"https://drive.google.com/file/d/1Gqr9P1QQ6uIOZ4YjBekaR8dbb0SouEDx"
1mdOcnBpdzvbzTGKiHI_L4on-HU6vdMsz,img_1mdOcnBpdzvbzTGKiHI_L4on-HU6vdMsz.jpg,yes,"https://drive.google.com/file/d/1mdOcnBpdzvbzTGKiHI_L4on-HU6vdMsz"
1Wer49Sbnu4yRKcSlr8lxRRnlRag69CyC,img_1Wer49Sbnu4yRKcSlr8lxRRnlRag69CyC.jpg,no,"https://drive.google.com/file/d/1Wer49Sbnu4yRKcSlr8lxRRnlRag69CyC"
1I76aLipndV0iVXXQpbY0y8evnNn1Zf-v,img_1I76aLipndV0iVXXQpbY0y8evnNn1Zf-v.jpg,yes,"https://drive.google.com/file/d/1I76aLipndV0iVXXQpbY0y8evnNn1Zf-v"
1hze6ij_rw6SvZ5k5gFrF6Y5dGW55uGPW,img_1hze6ij_rw6SvZ5k5gFrF6Y5dGW55uGPW.jpg,yes,"https://drive.google.com/file/d/1hze6ij_rw6SvZ5k5gFrF6Y5dGW55uGPW"
1NU5KJYvyGcXpdFFB-FkVj5MmOWcMwRsb,img_1NU5KJYvyGcXpdFFB-FkVj5MmOWcMwRsb.jpg,yes,"https://drive.google.com/file/d/1NU5KJYvyGcXpdFFB-FkVj5MmOWcMwRsb"
1ZHCEE91yTuKAFLtfTJIzWEGeP9hd4ke8,img_1ZHCEE91yTuKAFLtfTJIzWEGeP9hd4ke8.jpg,yes,"https://drive.google.com/file/d/1ZHCEE91yTuKAFLtfTJIzWEGeP9hd4ke8"
1VVaIWA5Glq6Fc1gpxZId0kOIcp2I9glI,img_1VVaIWA5Glq6Fc1gpxZId0kOIcp2I9glI.jpg,yes,"https://drive.google.com/file/d/1VVaIWA5Glq6Fc1gpxZId0kOIcp2I9glI"
1EtxY0Gm7TNdLea7f-zk3q81HiZauX7j2,img_1EtxY0Gm7TNdLea7f-zk3q81HiZauX7j2.jpg,yes,"https://drive.google.com/file/d/1EtxY0Gm7TNdLea7f-zk3q81HiZauX7j2"
1MzTJ3tvUGf3sTbYSDEGQ4AlON6mgoQmu,img_1MzTJ3tvUGf3sTbYSDEGQ4AlON6mgoQmu.jpg,yes,"https://drive.google.com/file/d/1MzTJ3tvUGf3sTbYSDEGQ4AlON6mgoQmu"
1xXsWEVB2mkhYZqwN-hC-XZaGlYheSGdH,img_1xXsWEVB2mkhYZqwN-hC-XZaGlYheSGdH.jpg,yes,"https://drive.google.com/file/d/1xXsWEVB2mkhYZqwN-hC-XZaGlYheSGdH"
1eGaUNv_BadZ1bz_xaksCBIDXEZ2xQqJ4,img_1eGaUNv_BadZ1bz_xaksCBIDXEZ2xQqJ4.jpg,yes,"https://drive.google.com/file/d/1eGaUNv_BadZ1bz_xaksCBIDXEZ2xQqJ4"
13CDnu-6m778I9EERIIeN4ph2noFSEr2U,img_13CDnu-6m778I9EERIIeN4ph2noFSEr2U.jpg,yes,"https://drive.google.com/file/d/13CDnu-6m778I9EERIIeN4ph2noFSEr2U"
1jq1UvH_SmJ4BZB7L1e_5zW7S_1cvOIm9,img_1jq1UvH_SmJ4BZB7L1e_5zW7S_1cvOIm9.jpg,yes,"https://drive.google.com/file/d/1jq1UvH_SmJ4BZB7L1e_5zW7S_1cvOIm9"
1gIjMqtPr0ZwO2dHpNIgucG-QqfK8vgGv,img_1gIjMqtPr0ZwO2dHpNIgucG-QqfK8vgGv.jpg,yes,"https://drive.google.com/file/d/1gIjMqtPr0ZwO2dHpNIgucG-QqfK8vgGv"
1tALpI6Qs6ImzmZUM1NNfHnSY3V9d4iIk,img_1tALpI6Qs6ImzmZUM1NNfHnSY3V9d4iIk.jpg,yes,"https://drive.google.com/file/d/1tALpI6Qs6ImzmZUM1NNfHnSY3V9d4iIk"
1bMetcuEvRyPg7mq7aZua_bKrtpPoUt5a,img_1bMetcuEvRyPg7mq7aZua_bKrtpPoUt5a.jpg,yes,"https://drive.google.com/file/d/1bMetcuEvRyPg7mq7aZua_bKrtpPoUt5a"
1Dfhxu5D6S7chFTvAsiU8NnC-WQL5t63W,img_1Dfhxu5D6S7chFTvAsiU8NnC-WQL5t63W.jpg,yes,"https://drive.google.com/file/d/1Dfhxu5D6S7chFTvAsiU8NnC-WQL5t63W"
1huM6UPzvH8npa1bvCqUXp9Xwt1PNAECW,img_1huM6UPzvH8npa1bvCqUXp9Xwt1PNAECW.jpg,yes,"https://drive.google.com/file/d/1huM6UPzvH8npa1bvCqUXp9Xwt1PNAECW"
1AySIs_eUz5TFlrY-nqR3oHmxfEyrrVga,img_1AySIs_eUz5TFlrY-nqR3oHmxfEyrrVga.jpg,yes,"https://drive.google.com/file/d/1AySIs_eUz5TFlrY-nqR3oHmxfEyrrVga"
1_D6yyIjFF87-hV7sF5fxwYBAIZ1AdQYp,img_1_D6yyIjFF87-hV7sF5fxwYBAIZ1AdQYp.jpg,yes,"https://drive.google.com/file/d/1_D6yyIjFF87-hV7sF5fxwYBAIZ1AdQYp"
1vPDRrgJbz6-ByxhWSAHXIww1859rKoZl,img_1vPDRrgJbz6-ByxhWSAHXIww1859rKoZl.jpg,yes,"https://drive.google.com/file/d/1vPDRrgJbz6-ByxhWSAHXIww1859rKoZl"
14kd0t6Bgigsom__5htI-ERZdO7ai2O0v,img_14kd0t6Bgigsom__5htI-ERZdO7ai2O0v.jpg,yes,"https://drive.google.com/file/d/14kd0t6Bgigsom__5htI-ERZdO7ai2O0v"
1QnkOm0ImKOGOSdydswUmfbCntb8ilRde,img_1QnkOm0ImKOGOSdydswUmfbCntb8ilRde.jpg,yes,"https://drive.google.com/file/d/1QnkOm0ImKOGOSdydswUmfbCntb8ilRde"
1J0-c4BAjwlbOUoNrfOn-h4zVs1FUDYug,img_1J0-c4BAjwlbOUoNrfOn-h4zVs1FUDYug.jpg,yes,"https://drive.google.com/file/d/1J0-c4BAjwlbOUoNrfOn-h4zVs1FUDYug"
1EOb7wHq_TAOVzd-RMrhJ7eHTd93I9lMf,img_1EOb7wHq_TAOVzd-RMrhJ7eHTd93I9lMf.jpg,yes,"https://drive.google.com/file/d/1EOb7wHq_TAOVzd-RMrhJ7eHTd93I9lMf"
1ySsN6GFO8Rm-9M6jW1alVi_IgIzp5E9b,img_1ySsN6GFO8Rm-9M6jW1alVi_IgIzp5E9b.jpg,yes,"https://drive.google.com/file/d/1ySsN6GFO8Rm-9M6jW1alVi_IgIzp5E9b"
1UsgT9FrXx7c148VPL7mOk7_--FdnCClI,img_1UsgT9FrXx7c148VPL7mOk7_--FdnCClI.jpg,yes,"https://drive.google.com/file/d/1UsgT9FrXx7c148VPL7mOk7_--FdnCClI"
1Rz3eMVcEuQrm6O4U8860Ey4U2mVox1AR,img_1Rz3eMVcEuQrm6O4U8860Ey4U2mVox1AR.jpg,yes,"https://drive.google.com/file/d/1Rz3eMVcEuQrm6O4U8860Ey4U2mVox1AR"
1bwj8c1cT7Hp3ezioZrfIgsAOd6DVVMic,img_1bwj8c1cT7Hp3ezioZrfIgsAOd6DVVMic.jpg,yes,"https://drive.google.com/file/d/1bwj8c1cT7Hp3ezioZrfIgsAOd6DVVMic"
1YqmArOdsGwgqGfOWhiSHdCOVvQSgSuKo,img_1YqmArOdsGwgqGfOWhiSHdCOVvQSgSuKo.jpg,no,"https://drive.google.com/file/d/1YqmArOdsGwgqGfOWhiSHdCOVvQSgSuKo"
10SJ-Ka6oUugk1ChuhRLlmH90_7Fk4H_n,img_10SJ-Ka6oUugk1ChuhRLlmH90_7Fk4H_n.jpg,no,"https://drive.google.com/file/d/10SJ-Ka6oUugk1ChuhRLlmH90_7Fk4H_n"
1yIJvreDeoecIjV71jYBg--Q9xed8B1iD,img_1yIJvreDeoecIjV71jYBg--Q9xed8B1iD.jpg,no,"https://drive.google.com/file/d/1yIJvreDeoecIjV71jYBg--Q9xed8B1iD"
1BjCWDA_L1UKchy9DhSB5yiIlF-F7v60b,img_1BjCWDA_L1UKchy9DhSB5yiIlF-F7v60b.jpg,no,"https://drive.google.com/file/d/1BjCWDA_L1UKchy9DhSB5yiIlF-F7v60b"
1L0fF0_n8a1Jwh316-c6zo8ae4UeyO-4g,img_1L0fF0_n8a1Jwh316-c6zo8ae4UeyO-4g.jpg,yes,"https://drive.google.com/file/d/1L0fF0_n8a1Jwh316-c6zo8ae4UeyO-4g"
16u1vH7ZuzvR3OlKaSbspKGgZ5OrQZpoI,img_16u1vH7ZuzvR3OlKaSbspKGgZ5OrQZpoI.jpg,yes,"https://drive.google.com/file/d/16u1vH7ZuzvR3OlKaSbspKGgZ5OrQZpoI"
1DL3OWr1tS56qzN1a1qBZ0UkcwBkxlhH1,img_1DL3OWr1tS56qzN1a1qBZ0UkcwBkxlhH1.jpg,no,"https://drive.google.com/file/d/1DL3OWr1tS56qzN1a1qBZ0UkcwBkxlhH1"
18RNlBVLSZ4Gb5qVVBr0tjf0AxH2AYDJJ,img_18RNlBVLSZ4Gb5qVVBr0tjf0AxH2AYDJJ.jpg,yes,"https://drive.google.com/file/d/18RNlBVLSZ4Gb5qVVBr0tjf0AxH2AYDJJ"
17qyHjE-mQFkd1gJuY8wm2r7X_NFbK20L,img_17qyHjE-mQFkd1gJuY8wm2r7X_NFbK20L.jpg,yes,"https://drive.google.com/file/d/17qyHjE-mQFkd1gJuY8wm2r7X_NFbK20L"
1HXCk5EiYsV1wasApwmSaJXoOt3kG1tTN,img_1HXCk5EiYsV1wasApwmSaJXoOt3kG1tTN.jpg,yes,"https://drive.google.com/file/d/1HXCk5EiYsV1wasApwmSaJXoOt3kG1tTN"
1qZ1fKzqcwvRaRlm6UHEvJWr8VaOHYncy,img_1qZ1fKzqcwvRaRlm6UHEvJWr8VaOHYncy.jpg,yes,"https://drive.google.com/file/d/1qZ1fKzqcwvRaRlm6UHEvJWr8VaOHYncy"
1geVE4nF5seM65VDNFSWJpV6v_Zhi4VIv,img_1geVE4nF5seM65VDNFSWJpV6v_Zhi4VIv.jpg,yes,"https://drive.google.com/file/d/1geVE4nF5seM65VDNFSWJpV6v_Zhi4VIv"
12YYOC6BFIItCNHgHoMTJrHPt3_AJTjlA,img_12YYOC6BFIItCNHgHoMTJrHPt3_AJTjlA.jpg,yes,"https://drive.google.com/file/d/12YYOC6BFIItCNHgHoMTJrHPt3_AJTjlA"
1-GjE5CLrPGUNX0nNHUrh_8pCgJul4ihP,img_1-GjE5CLrPGUNX0nNHUrh_8pCgJul4ihP.jpg,yes,"https://drive.google.com/file/d/1-GjE5CLrPGUNX0nNHUrh_8pCgJul4ihP"
1SuK7lA0Vla32JVV0TBKiwFOjYmdT4wxV,img_1SuK7lA0Vla32JVV0TBKiwFOjYmdT4wxV.jpg,yes,"https://drive.google.com/file/d/1SuK7lA0Vla32JVV0TBKiwFOjYmdT4wxV"
1fBmcnKPfCD8-sTl8xnUQ-uufHJjCo9aq,img_1fBmcnKPfCD8-sTl8xnUQ-uufHJjCo9aq.jpg,yes,"https://drive.google.com/file/d/1fBmcnKPfCD8-sTl8xnUQ-uufHJjCo9aq"
